exp,exp_no,phyto,source,tp,datetime,date,time,plot_date,plot_datetime,mean_cells,sd_cells,mean_grn,sd_grn,mean_yel,sd_yel,mean_red,sd_red,mean_fsc,sd_fsc,mean_ssc,sd_ssc,mean_abs_line_height,sd_abs_line_height,mean_chl_line_height,sd_chl_line_height,wl,mean_bbp,sd_bbp,mean_bb_b,sd_bb_b
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,13,2022-08-17T13:00:00Z,2022-08-17,13:00:00,2022-11-28,2022-11-28T13:00:00Z,873165000000,344459000000,1.4458943859626423,0.01448112531909313,1.2302743925425397,0.00661168875923059,0.3739654768653404,0.00547958234711859,1.6413832058879994,0.01313448594325675,2.0916333296580656,0.00964986741021298,0.05084069428781464,5.471266024192384e-4,6.042374450751408,0.05260832715569653,660,0.003295295961723811,3.7921960561233386e-4,0.006148312106528808,9.43150545086715e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,1,2022-08-24T10:00:00Z,2022-08-24,10:00:00,2022-11-27,2022-11-27T10:00:00Z,901446432120.1284,NA,1.419658236031807,0.01904849638925586,1.228868430477105,0.01530159595734067,0.3751114661976296,0.00800475218815129,1.5462526259758678,0.01582372662175436,2.1261876923544647,0.023914579371432432,0.04585600851190981,0.00131281417028955,5.563077741529789,0.12623213175861073,470,0.0020421634939814482,2.660598876558479e-4,0.0024757636800542245,3.2533742713481507e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,1,2022-08-24T10:00:00Z,2022-08-24,10:00:00,2022-11-27,2022-11-27T10:00:00Z,901446432120.1284,NA,1.419658236031807,0.01904849638925586,1.228868430477105,0.01530159595734067,0.3751114661976296,0.00800475218815129,1.5462526259758678,0.01582372662175436,2.1261876923544647,0.023914579371432432,0.04585600851190981,0.00131281417028955,5.563077741529789,0.12623213175861073,532,0.0028081789665852005,3.7467838540293453e-4,0.004160843352024573,5.408915114888129e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,1,2022-08-24T10:00:00Z,2022-08-24,10:00:00,2022-11-27,2022-11-27T10:00:00Z,901446432120.1284,NA,1.419658236031807,0.01904849638925586,1.228868430477105,0.01530159595734067,0.3751114661976296,0.00800475218815129,1.5462526259758678,0.01582372662175436,2.1261876923544647,0.023914579371432432,0.04585600851190981,0.00131281417028955,5.563077741529789,0.12623213175861073,660,0.0033421382289385935,3.5137485768599455e-4,0.00814019909142741,7.532486599327002e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,2,2022-08-24T12:00:00Z,2022-08-24,12:00:00,2022-11-27,2022-11-27T12:00:00Z,985277814712.1976,NA,1.453816762891864,0.01218299983063287,1.2506825675904425,0.01185996904026376,0.3787988259577347,0.00613222904162212,1.5468593372229589,0.01580495944941528,2.113206212596265,0.02404880992815951,0.04842026256766722,0.00219003431007351,5.809640631506463,0.210580222122453,470,0.001629128626299221,5.595863132680305e-4,0.0018563915063356275,5.237457877788885e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,2,2022-08-24T12:00:00Z,2022-08-24,12:00:00,2022-11-27,2022-11-27T12:00:00Z,985277814712.1976,NA,1.453816762891864,0.01218299983063287,1.2506825675904425,0.01185996904026376,0.3787988259577347,0.00613222904162212,1.5468593372229589,0.01580495944941528,2.113206212596265,0.02404880992815951,0.04842026256766722,0.00219003431007351,5.809640631506463,0.210580222122453,532,0.002679663786156013,3.7058728785494964e-4,0.003773837984524654,3.9981548945267894e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,2,2022-08-24T12:00:00Z,2022-08-24,12:00:00,2022-11-27,2022-11-27T12:00:00Z,985277814712.1976,NA,1.453816762891864,0.01218299983063287,1.2506825675904425,0.01185996904026376,0.3787988259577347,0.00613222904162212,1.5468593372229589,0.01580495944941528,2.113206212596265,0.02404880992815951,0.04842026256766722,0.00219003431007351,5.809640631506463,0.210580222122453,660,0.0031428234666720247,7.409590112790965e-5,0.007426464245116287,5.542802059163768e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,3,2022-08-24T14:00:00Z,2022-08-24,14:00:00,2022-11-27,2022-11-27T14:00:00Z,946236240656.7076,NA,1.4588881882728044,0.01657672529984352,1.2351529562127967,0.00671398299221874,0.378931431226544,0.005182132195526,1.6008386699445818,0.01533056055563117,2.1075233874755934,0.02564690244278698,0.04722604971420516,0.00487705859770855,5.694812472519728,0.46894794208736035,470,0.0019713020550264455,3.321356315265849e-4,0.002124316985357467,4.480623253019291e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,3,2022-08-24T14:00:00Z,2022-08-24,14:00:00,2022-11-27,2022-11-27T14:00:00Z,946236240656.7076,NA,1.4588881882728044,0.01657672529984352,1.2351529562127967,0.00671398299221874,0.378931431226544,0.005182132195526,1.6008386699445818,0.01533056055563117,2.1075233874755934,0.02564690244278698,0.04722604971420516,0.00487705859770855,5.694812472519728,0.46894794208736035,532,0.00263148568992364,4.187015309193954e-4,0.0034466035010221768,2.478722660170887e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,3,2022-08-24T14:00:00Z,2022-08-24,14:00:00,2022-11-27,2022-11-27T14:00:00Z,946236240656.7076,NA,1.4588881882728044,0.01657672529984352,1.2351529562127967,0.00671398299221874,0.378931431226544,0.005182132195526,1.6008386699445818,0.01533056055563117,2.1075233874755934,0.02564690244278698,0.04722604971420516,0.00487705859770855,5.694812472519728,0.46894794208736035,660,0.002987260464400651,3.256495302872024e-4,0.006587503115431797,4.3280512418528063e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,4,2022-08-24T16:00:00Z,2022-08-24,16:00:00,2022-11-27,2022-11-27T16:00:00Z,1033033367436.9126,NA,1.4502915350033154,0.02142147279630244,1.225821387725733,0.01167103622095458,0.3753699218745872,0.00915284699674554,1.6995649755424904,0.01231027888846375,2.1254704140794725,0.01666587889084142,0.04988102065101144,0.00188253370885324,5.950098139520331,0.18101285662050445,470,0.0026015206209500817,5.653901078641619e-4,0.002274073499843766,4.802058785396331e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,4,2022-08-24T16:00:00Z,2022-08-24,16:00:00,2022-11-27,2022-11-27T16:00:00Z,1033033367436.9126,NA,1.4502915350033154,0.02142147279630244,1.225821387725733,0.01167103622095458,0.3753699218745872,0.00915284699674554,1.6995649755424904,0.01231027888846375,2.1254704140794725,0.01666587889084142,0.04988102065101144,0.00188253370885324,5.950098139520331,0.18101285662050445,532,0.002963034792147705,4.213444749255449e-4,0.00316169909775838,1.8890385970080285e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,4,2022-08-24T16:00:00Z,2022-08-24,16:00:00,2022-11-27,2022-11-27T16:00:00Z,1033033367436.9126,NA,1.4502915350033154,0.02142147279630244,1.225821387725733,0.01167103622095458,0.3753699218745872,0.00915284699674554,1.6995649755424904,0.01231027888846375,2.1254704140794725,0.01666587889084142,0.04988102065101144,0.00188253370885324,5.950098139520331,0.18101285662050445,660,0.0033790171405319353,3.531744440162684e-4,0.006000067060581593,2.1057651798581063e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,5,2022-08-24T18:00:00Z,2022-08-24,18:00:00,2022-11-27,2022-11-27T18:00:00Z,1209588066476.4873,NA,1.4484072622625384,0.01840865988025615,1.2250249457213138,0.01415874111360024,0.378759195500094,0.00860105790490908,1.7571749048958094,0.01607321463588149,2.1300788632187153,0.02399422720361161,0.05528151732751608,0.00613117455237646,6.4693766661073155,0.5895360146515827,470,0.002466653222930727,7.255095095761433e-4,0.0017323864791519298,4.3458998239350854e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,5,2022-08-24T18:00:00Z,2022-08-24,18:00:00,2022-11-27,2022-11-27T18:00:00Z,1209588066476.4873,NA,1.4484072622625384,0.01840865988025615,1.2250249457213138,0.01415874111360024,0.378759195500094,0.00860105790490908,1.7571749048958094,0.01607321463588149,2.1300788632187153,0.02399422720361161,0.05528151732751608,0.00613117455237646,6.4693766661073155,0.5895360146515827,532,0.0031548313793156057,4.92363487624656e-4,0.0027210141125364995,1.5730211728759547e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,5,2022-08-24T18:00:00Z,2022-08-24,18:00:00,2022-11-27,2022-11-27T18:00:00Z,1209588066476.4873,NA,1.4484072622625384,0.01840865988025615,1.2250249457213138,0.01415874111360024,0.378759195500094,0.00860105790490908,1.7571749048958094,0.01607321463588149,2.1300788632187153,0.02399422720361161,0.05528151732751608,0.00613117455237646,6.4693766661073155,0.5895360146515827,660,0.003738449204993865,5.296792046386709e-4,0.005323342697541304,3.0173523660285517e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,6,2022-08-24T20:00:00Z,2022-08-24,20:00:00,2022-11-27,2022-11-27T20:00:00Z,1289406375106.4253,NA,1.4597059359695408,0.03745091317655874,1.2227921765878649,0.02097656692090312,0.38583421371825294,0.0100378969013217,1.793693130310459,0.01655778301900205,2.1253004455581817,0.03183843699513846,0.05772301853266713,0.00291150362044232,6.7041363973718395,0.2799522711963773,470,0.003043253558000341,3.3762303794864217e-4,0.0018866158895983482,1.5090699543732108e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,6,2022-08-24T20:00:00Z,2022-08-24,20:00:00,2022-11-27,2022-11-27T20:00:00Z,1289406375106.4253,NA,1.4597059359695408,0.03745091317655874,1.2227921765878649,0.02097656692090312,0.38583421371825294,0.0100378969013217,1.793693130310459,0.01655778301900205,2.1253004455581817,0.03183843699513846,0.05772301853266713,0.00291150362044232,6.7041363973718395,0.2799522711963773,532,0.0038168685572163535,4.3579213887744693e-4,0.0028708691974485383,2.770265489420968e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,6,2022-08-24T20:00:00Z,2022-08-24,20:00:00,2022-11-27,2022-11-27T20:00:00Z,1289406375106.4253,NA,1.4597059359695408,0.03745091317655874,1.2227921765878649,0.02097656692090312,0.38583421371825294,0.0100378969013217,1.793693130310459,0.01655778301900205,2.1253004455581817,0.03183843699513846,0.05772301853266713,0.00291150362044232,6.7041363973718395,0.2799522711963773,660,0.0042919613701137916,3.3026083213089725e-4,0.005188111186948384,5.399864241358355e-5
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,7,2022-08-24T22:00:00Z,2022-08-24,22:00:00,2022-11-27,2022-11-27T22:00:00Z,1259998637067.0903,NA,1.4571602026657602,0.04094099094788572,1.21845773482178,0.02294462818758608,0.3865571066247685,0.01086740939663746,1.7602495624535337,0.03737504825080786,2.126691824877243,0.0312985370498325,0.05682348772205216,0.00105024545693871,6.617643050197324,0.10098514009026174,470,0.002438235295246958,3.040880792030217e-4,0.0016632959318900182,2.804277885189774e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,7,2022-08-24T22:00:00Z,2022-08-24,22:00:00,2022-11-27,2022-11-27T22:00:00Z,1259998637067.0903,NA,1.4571602026657602,0.04094099094788572,1.21845773482178,0.02294462818758608,0.3865571066247685,0.01086740939663746,1.7602495624535337,0.03737504825080786,2.126691824877243,0.0312985370498325,0.05682348772205216,0.00105024545693871,6.617643050197324,0.10098514009026174,532,0.003243698743796069,1.6410685773253023e-4,0.002690683756919801,2.133831287446809e-4
