phyto,wl,var1,var2,cor,statistic,p,method
o_lucimarinus,470,bb_b,fsc,-0.6,4670.298367104856,0.00129,Spearman
o_lucimarinus,532,bb_b,fsc,-0.74,5083.368983502739,1.69e-5,Spearman
o_lucimarinus,660,bb_b,fsc,-0.9,5545.44797811732,6.24e-10,Spearman
o_lucimarinus,470,bb_b,ssc,-0.89,5528.445071389077,1.16e-9,Spearman
o_lucimarinus,532,bb_b,ssc,-0.85,5425.427460035611,2.7e-8,Spearman
o_lucimarinus,660,bb_b,ssc,-0.73,5065.365905790483,2.16e-5,Spearman
o_lucimarinus,470,bb_b,poc_optics,-0.12,510,0.682,Spearman
o_lucimarinus,532,bb_b,poc_optics,-0.068,486,0.82,Spearman
o_lucimarinus,660,bb_b,poc_optics,-0.015,462,0.964,Spearman
o_lucimarinus,470,bb_b,poc_cell,-0.7,774.0000000000001,0.00686,Spearman
o_lucimarinus,532,bb_b,poc_cell,-0.78,810,0.00158,Spearman
o_lucimarinus,660,bb_b,poc_cell,-0.85,842,1.36e-4,Spearman
o_lucimarinus,470,bb_b,cn,0.16,380,0.573,Spearman
o_lucimarinus,532,bb_b,cn,0.22,356,0.454,Spearman
o_lucimarinus,660,bb_b,cn,0.29,322,0.31,Spearman
o_lucimarinus,470,bb_b,c_chl,-0.073,488,0.808,Spearman
o_lucimarinus,532,bb_b,c_chl,-0.17,532,0.563,Spearman
o_lucimarinus,660,bb_b,c_chl,-0.12,510,0.682,Spearman
o_lucimarinus,470,bb_b,chl_line_height,-0.7,5582,6.55e-5,Spearman
o_lucimarinus,532,bb_b,chl_line_height,-0.52,4966,0.00653,Spearman
o_lucimarinus,660,bb_b,chl_line_height,-0.23,4036,0.243,Spearman
o_lucimarinus,470,bb_b,chl_cell,-0.22,3981.9999999999995,0.279,Spearman
o_lucimarinus,532,bb_b,chl_cell,-0.35,4424,0.0737,Spearman
o_lucimarinus,660,bb_b,chl_cell,-0.6,5225.999999999999,0.00131,Spearman
o_lucimarinus,470,bb_b,ppc_chla,0.042,3138,0.835,Spearman
o_lucimarinus,532,bb_b,ppc_chla,0.16,2758,0.429,Spearman
o_lucimarinus,660,bb_b,ppc_chla,0.19,2668,0.352,Spearman
o_lucimarinus,470,bb_b,chlb_chla,0.32,2226,0.103,Spearman
o_lucimarinus,532,bb_b,chlb_chla,0.2,2614.0000000000005,0.311,Spearman
o_lucimarinus,660,bb_b,chlb_chla,0.068,3052,0.734,Spearman
o_lucimarinus,470,bb_b,Fv_Fm,-0.4,3640,0.0486,Spearman
o_lucimarinus,532,bb_b,Fv_Fm,-0.26,3276,0.209,Spearman
o_lucimarinus,660,bb_b,Fv_Fm,0.0031,2592,0.99,Spearman
o_lucimarinus,470,bb_b,red,-0.52,4432.257672909466,0.00706,Spearman
o_lucimarinus,532,bb_b,red,-0.7,4981.351543133286,6.19e-5,Spearman
o_lucimarinus,660,bb_b,red,-0.79,5235.394973072905,1.6e-6,Spearman
synechococcus,470,ap,ap,1,0,0,Spearman
synechococcus,532,ap,ap,1,0,0,Spearman
