----,
DateTime:,      2022/05/09, 23:30:04, 1652164203,
PIF:,             48.98,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           1,    5, 
S/N Ratio:,   122.11,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
  304,   222825.8,    187.573,      77.921,
  305,   222865.8,    187.675,      76.847,
  306,   222905.8,    187.510,      78.251,
  307,   222945.8,    187.548,      79.521,
  308,   222985.8,    187.636,      79.315,
  309,   223025.8,    187.623,      77.392,
  310,   223065.8,    187.686,      78.830,
  311,   223105.8,    187.609,      78.443,
  312,   223145.8,    187.532,      80.344,
  313,   223185.8,    187.570,      79.265,
  314,   223225.8,    187.596,      78.553,
  315,   223265.8,    187.610,      79.434,
  316,   223305.8,    187.712,      77.700,
  317,   223345.8,    187.646,      78.944,
  318,   223385.8,    187.632,      79.476,
  319,   223425.8,    187.592,      79.444,
  320,   223465.8,    187.590,      79.238,
  321,   223505.8,    187.628,      80.516,
  322,   223545.8,    187.643,      79.492,
  323,   223585.8,    187.618,      79.779,
  324,   223625.8,    187.605,      79.079,
  325,   223665.8,    187.604,      80.195,
  326,   223705.8,    187.628,      80.691,
  327,   223745.8,    187.551,      79.960,
  328,   223785.8,    187.626,      79.833,
  329,   223825.8,    187.687,      80.530,
  330,   223865.8,    187.599,      79.807,
  331,   223905.8,    187.611,      80.347,
  332,   223945.8,    187.612,      80.571,
  333,   223985.8,    187.636,      80.597,
  334,   224025.8,    187.623,      80.409,
  335,   224065.8,    187.674,      80.336,
  336,   224105.8,    187.585,      80.884,
  337,   224145.8,    187.648,      80.529,
  338,   224185.8,    187.599,      79.476,
  339,   224225.8,    187.586,      81.789,
  340,   224265.8,    187.573,      79.675,
  341,   224305.8,    187.664,      80.034,
  342,   224345.8,    187.638,      83.055,
  343,   224385.8,    187.638,      79.652,
  344,   224425.8,    187.624,      83.040,
  345,   224465.8,    187.649,      82.466,
  346,   224505.8,    187.674,      82.083,
  347,   224545.8,    187.648,      81.885,
  348,   224585.8,    187.725,      82.215,
  349,   224625.8,    187.713,      81.690,
  350,   224665.8,    187.624,      81.364,
  351,   224705.8,    187.688,      82.233,
  352,   224745.8,    187.650,      82.397,
  353,   224785.8,    187.664,      83.101,
  354,   224825.8,    187.626,      83.249,
  355,   224865.8,    187.639,      82.706,
  356,   224905.8,    187.626,      82.329,
  357,   224945.8,    187.601,      82.332,
  358,   224985.8,    187.627,      82.704,
  359,   225025.8,    187.678,      82.352,
  360,   225065.8,    187.654,      83.936,
  361,   225105.8,    187.616,      82.484,
  362,   225145.8,    187.653,      83.177,
  363,   225185.8,    187.677,      82.490,
  364,   225225.8,    187.640,      83.766,
  365,   225265.8,    187.627,      82.307,
  366,   225305.8,    187.641,      81.956,
  367,   225345.8,    187.615,      83.380,
  368,   225385.8,    187.642,      82.868,
  369,   225425.8,    187.630,      83.588,
  370,   225465.8,    187.605,      82.721,
  371,   225505.8,    187.632,      83.805,
  372,   225545.8,    187.632,      84.349,
  373,   225585.8,    187.644,      84.518,
  374,   225625.8,    187.693,      83.960,
  375,   225665.8,    187.642,      83.478,
  376,   225705.8,    187.641,      85.598,
  377,   225745.8,    187.578,      83.659,
  378,   225785.8,    187.613,      83.653,
  379,   225825.8,    187.575,      82.203,
  380,   225865.8,    187.676,      83.421,
  381,   225905.8,    187.688,      83.783,
  382,   225945.8,    187.676,      85.235,
  383,   225985.8,    187.627,      85.988,
  384,   226025.8,    187.640,      86.217,
  385,   226065.8,    187.616,      85.676,
  386,   226105.8,    187.694,      85.000,
  387,   226145.8,    187.680,      84.476,
  388,   226185.8,    187.678,      84.845,
  389,   226225.8,    187.575,      85.523,
  390,   226265.8,    187.638,      84.081,
  391,   226305.8,    187.612,      86.200,
  392,   226345.8,    187.700,      86.397,
  393,   226385.8,    187.686,      85.484,
  394,   226425.8,    187.635,      84.270,
  395,   226465.8,    187.598,      85.885,
  396,   226505.8,    187.724,      86.049,
  397,   226545.8,    187.674,      88.173,
  398,   226585.8,    187.726,      87.088,
  399,   226625.8,    187.663,      84.620,
  400,   226665.8,    187.714,      84.661,
  401,   226705.8,    187.613,      84.676,
  402,   226745.8,    187.616,      86.442,
  403,   226785.8,    187.630,      85.174,
  404,   226825.8,    187.618,      87.140,
  405,   226865.8,    187.642,      85.013,
  406,   226905.8,    187.680,      86.236,
  407,   226945.8,    187.654,      88.191,
  408,   226985.8,    187.767,      87.264,
  409,   227025.8,    187.679,      87.084,
  410,   227065.8,    187.667,      86.699,
  411,   227105.8,    187.679,      86.143,
  412,   227145.8,    187.653,      85.778,
  413,   227185.8,    187.667,      86.478,
  414,   227225.8,    187.631,      86.168,
  415,   227265.8,    187.645,      87.945,
  416,   227305.8,    187.696,      89.184,
