exp,exp_no,phyto,source,tp,datetime,date,time,plot_date,plot_datetime,mean_cells,sd_cells,mean_grn,sd_grn,mean_yel,sd_yel,mean_red,sd_red,mean_fsc,sd_fsc,mean_ssc,sd_ssc
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,12,2022-08-17T11:00:00Z,2022-08-17,11:00:00,2022-11-28,2022-11-28T11:00:00Z,10865017.5,12229.41178062134,1.555146778349287,1.2648390272684512e-5,1.3563514708794682,3.7188403209872305e-4,0.46245781665038027,5.980001476549628e-4,1.6495243827889001,0.025421164855770735,2.201286894953692,0.013148973062018931
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,13,2022-08-17T13:00:00Z,2022-08-17,13:00:00,2022-11-28,2022-11-28T13:00:00Z,10722170,873489.0067997421,1.5471078097151751,0.009303756844089605,1.3389492370890508,7.275444991760269e-4,0.45553028460638006,0.0017884947231511736,1.7150674446385874,0.02042008209956782,2.1883489448575606,0.012202796168644132
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,14,2022-08-17T15:00:00Z,2022-08-17,15:00:00,2022-11-28,2022-11-28T15:00:00Z,10236462.5,240921.88695197453,1.5639316742931342,0.016778163768472642,1.3573488763017534,0.0054901095639102,0.46572889848393534,1.2346161510347177e-4,1.821667589976623,0.006544288615365028,2.2146167981071407,0.004956490180023462
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,15,2022-08-17T17:00:00Z,2022-08-17,17:00:00,2022-11-28,2022-11-28T17:00:00Z,11473272.5,6431.13617489165,1.5772335652183815,0.01271416721917753,1.375655193325327,0.03790922975682138,0.4746286710931157,0.010282607409545513,1.885872030767321,0.01230120287633213,2.216440353265484,0.0249795887890957
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,16,2022-08-17T22:00:00Z,2022-08-17,22:00:00,2022-11-28,2022-11-28T22:00:00Z,14130970,625393.5215526301,1.5817781066158778,0.024068084583903603,1.3999275671866196,0.04206745148067439,0.4979931900168726,0.010755512090877734,1.8754568121862205,0.0035192030254220393,2.245087768533228,0.010424081942448607
SYN22-5,2,italic('Synechococcus ') (WH8102),Culture,1,2022-08-24T09:00:00Z,2022-08-24,09:00:00,2022-11-27,2022-11-27T09:00:00Z,11339739.377461769,3723291.587276792,1.5169467364232272,0.011195244778623133,1.3150608896895648,0.013496728057899495,0.4386292255966865,0.0016016403501518902,1.657336717735428,0.027290561722297206,2.238560550207164,0.0181458215099446
SYN22-5,2,italic('Synechococcus ') (WH8102),Culture,2,2022-08-24T11:00:00Z,2022-08-24,11:00:00,2022-11-27,2022-11-27T11:00:00Z,9537823.532368671,1606905.3810878424,1.5765890137575247,0.033985231197345166,1.4121064922814313,0.06024039355264406,0.48394822262708465,0.017561551322625837,1.6103973249111707,0.03125279291935787,2.2292996514570604,0.01051278372075911
SYN22-5,2,italic('Synechococcus ') (WH8102),Culture,3,2022-08-24T13:00:00Z,2022-08-24,13:00:00,2022-11-27,2022-11-27T13:00:00Z,10562133.382466108,3742865.3292064667,1.6069012425810945,0.00825790848165652,1.3341275052088701,0.020317911823891633,0.44749540721321546,0.004210894441249325,1.7130230425757318,0.022849628950132077,2.224012760504619,0.013494477765481034
SYN22-5,2,italic('Synechococcus ') (WH8102),Culture,4,2022-08-24T15:00:00Z,2022-08-24,15:00:00,2022-11-27,2022-11-27T15:00:00Z,10652784.471970607,4287310.579672272,1.596430112710874,0.05713172304427521,1.4024156723713992,0.13279736244315274,0.47271923816867484,0.047304633784328705,1.7325810999500817,0.06738038402853909,2.202716901743076,0.03146123008027004
SYN22-5,2,italic('Synechococcus ') (WH8102),Culture,5,2022-08-24T17:00:00Z,2022-08-24,17:00:00,2022-11-27,2022-11-27T17:00:00Z,14603083.67701693,4493053.281859138,1.5842565194418277,0.032374839612523805,1.3634150805565246,0.01933458834881202,0.46480310632664446,0.0052636685377033246,1.8577134943353228,0.02044112854743448,2.2429600415437667,0.024519960942616055
