exp,exp_no,phyto,source,bottle,tp,datetime,date,time,plot_date,plot_datetime,wl,cp,c_se,ap,a_se,bp,abs_line_height,chl_line_height
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,587.8,0.399183244243598,2.3199608537467352e-4,0.0107147735823687,3.772319080989805e-5,0.3884684706612293,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,592.7,0.397079563018489,2.2695204692342995e-4,0.010348167888099,4.188290857926389e-5,0.38673139513039,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,597.4,0.394423491699348,2.2826887986997842e-4,0.0100840519784204,4.165657590443803e-5,0.3843394397209276,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,602.1,0.392164392844078,2.2775460027937158e-4,0.0100127627783855,4.079595654592152e-5,0.3821516300656925,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,607,0.389639469094078,2.285705591409433e-4,0.0101337302783855,4.260669259304351e-5,0.3795057388156925,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,612,0.38671142580967,2.2696790006147846e-4,0.0105223189899509,4.1154047742556706e-5,0.3761891068197191,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,616.9,0.383810173700371,2.2766959831775686e-4,0.0108665033957859,4.107357569658031e-5,0.37294367030458514,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,621.9,0.381014049661259,2.2673252709825022e-4,0.0110361033381339,4.130839318423677e-5,0.36997794632312514,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,626.5,0.378467621103223,2.2742082701547977e-4,0.0111052400093428,4.040027277433982e-5,0.3673623810938802,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,631.2,0.376042340873171,2.2762188890971654e-4,0.0107985046978473,4.230400283302369e-5,0.3652438361753237,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,635.8,0.373817156790941,2.287978923927389e-4,0.0104546601478823,4.135539811348954e-5,0.3633624966430587,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,640.8,0.371123093175,2.2860001897741157e-4,0.0100192823940388,5.821080706633551e-5,0.36110381078096115,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,645.3,0.3679958175,2.2906109212668938e-4,0.00995053864403879,4.295800748934088e-5,0.3580452788559612,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,650.2,0.3648628125,2.27810701614231e-4,0.0103585736440388,4.346804323540597e-5,0.3545042388559612,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,654.9,0.360834877034408,2.2880662680709464e-4,0.0122241561824734,4.275444569918271e-5,0.34861072085193456,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,659.3,0.357688261981773,2.2739919158368455e-4,0.015119834707456,4.4874730589781914e-5,0.342568427274317,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,660,0.3573693653156708,NA,0.015676402274720485,NA,0.34169296304095037,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,663.9,0.355592655318816,2.294227785908187e-4,0.0187772787209081,4.191108663443617e-5,0.3368153765979079,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,668.8,0.354827307034408,2.2725550299447863e-4,0.0223441649324735,4.394439177065543e-5,0.3324831421019345,0.01669896535638975,2.049926096884982
